hhcode,Province,Region,PSU,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8
1102200212,Khyber Pakhtunkhwa,Urban,11022002,No,No,No,No,No,No,No,No
1102200601,Khyber Pakhtunkhwa,Urban,11022006,No,No,No,No,No,No,No,No
1102200602,Khyber Pakhtunkhwa,Urban,11022006,No,No,No,No,No,No,No,No
1102200603,Khyber Pakhtunkhwa,Urban,11022006,No,No,No,No,No,No,No,No
1102200605,Khyber Pakhtunkhwa,Urban,11022006,Yes,Yes,No,No,No,No,No,No
1102200606,Khyber Pakhtunkhwa,Urban,11022006,No,No,No,No,No,No,No,No
1102200607,Khyber Pakhtunkhwa,Urban,11022006,No,No,No,No,No,No,No,No
1102200608,Khyber Pakhtunkhwa,Urban,11022006,No,No,No,No,No,No,No,No
1102200609,Khyber Pakhtunkhwa,Urban,11022006,No,No,No,No,No,No,No,No
1102200610,Khyber Pakhtunkhwa,Urban,11022006,No,No,No,No,No,No,No,No
1102200611,Khyber Pakhtunkhwa,Urban,11022006,No,No,No,No,No,No,No,No
1102200612,Khyber Pakhtunkhwa,Urban,11022006,No,No,No,No,No,No,No,No
1102201001,Khyber Pakhtunkhwa,Urban,11022010,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
1102201002,Khyber Pakhtunkhwa,Urban,11022010,No,No,No,No,No,No,No,No
1102201003,Khyber Pakhtunkhwa,Urban,11022010,No,No,No,No,No,No,No,No
1102201004,Khyber Pakhtunkhwa,Urban,11022010,No,No,No,No,No,No,No,No
1102201005,Khyber Pakhtunkhwa,Urban,11022010,No,No,No,No,No,No,No,No
1102201006,Khyber Pakhtunkhwa,Urban,11022010,No,No,No,No,No,No,No,No
1102201007,Khyber Pakhtunkhwa,Urban,11022010,No,No,No,No,No,No,No,No
1102201008,Khyber Pakhtunkhwa,Urban,11022010,No,No,No,No,No,No,No,No
1102201009,Khyber Pakhtunkhwa,Urban,11022010,No,No,Yes,Yes,No,No,No,No
1102201010,Khyber Pakhtunkhwa,Urban,11022010,No,No,Yes,Yes,No,No,No,No
1102201011,Khyber Pakhtunkhwa,Urban,11022010,No,No,No,No,No,No,No,No
1102201012,Khyber Pakhtunkhwa,Urban,11022010,No,No,No,No,No,No,No,No
1102201401,Khyber Pakhtunkhwa,Urban,11022014,No,No,No,No,No,No,No,No
1102201402,Khyber Pakhtunkhwa,Urban,11022014,No,No,No,No,No,No,No,No
1102201403,Khyber Pakhtunkhwa,Urban,11022014,No,No,No,No,No,No,No,No
1102201404,Khyber Pakhtunkhwa,Urban,11022014,No,No,No,No,No,No,No,No
1102201405,Khyber Pakhtunkhwa,Urban,11022014,No,No,No,No,No,No,No,No
1102201406,Khyber Pakhtunkhwa,Urban,11022014,No,No,No,No,No,No,No,No
1102201407,Khyber Pakhtunkhwa,Urban,11022014,No,No,No,No,No,No,No,No
1102201408,Khyber Pakhtunkhwa,Urban,11022014,No,No,No,No,No,No,No,No
1102201409,Khyber Pakhtunkhwa,Urban,11022014,No,Yes,Yes,No,No,No,No,No
1102201410,Khyber Pakhtunkhwa,Urban,11022014,No,No,No,No,No,No,No,No
1102201411,Khyber Pakhtunkhwa,Urban,11022014,No,No,No,No,No,No,No,No
1102201412,Khyber Pakhtunkhwa,Urban,11022014,No,No,No,No,No,No,No,No
1102300301,Khyber Pakhtunkhwa,Urban,11023003,No,No,No,No,No,No,No,No
1102300302,Khyber Pakhtunkhwa,Urban,11023003,No,No,No,No,No,No,No,No
1102300303,Khyber Pakhtunkhwa,Urban,11023003,No,No,No,No,No,No,No,No
1102300304,Khyber Pakhtunkhwa,Urban,11023003,No,Yes,Yes,No,No,98,No,No
1102300305,Khyber Pakhtunkhwa,Urban,11023003,No,No,No,No,No,No,No,No
1102300306,Khyber Pakhtunkhwa,Urban,11023003,No,No,No,No,No,No,No,No
1102300307,Khyber Pakhtunkhwa,Urban,11023003,No,No,No,No,No,No,No,No
